Image_name,Shoulder_L,Shoulder_R,Elbow_L,Elbow_R,Waist_L,Waist_R,Knee_L,Knee_R,Pose_Num,Pose_Name
00000128.jpg,168.48877526832064,169.63883830118434,170.1109743528454,170.16688161220364,72.48067917202647,75.49854999246529,178.07906108378612,173.27600520182807,0,Downward Dog Pose
00000129.jpg,178.7404460871057,171.73291290486873,164.94008648568672,165.23041060302208,74.86234018381894,80.65102241071273,176.98816351441107,175.81989462738903,0,Downward Dog Pose
00000130.jpg,173.60098999029293,172.60163933850848,176.62686374831816,172.42146452514024,61.13502963478668,63.21859754238255,132.57022364260362,136.38323317740966,0,Downward Dog Pose
00000132.png,169.68438786968483,168.287882269568,171.95570121296862,171.34368394393903,70.8578473105179,70.7056085290737,174.44874756973226,176.7139191814564,0,Downward Dog Pose
00000133.jpg,179.5463888114816,178.8955740600909,161.05065721253885,166.43579735410717,73.28036313605338,74.68505154988829,178.2701163781869,174.4279596559525,0,Downward Dog Pose
00000134.jpg,176.17402454882725,175.82753370131343,164.01908285160505,165.78094690137854,94.78729531199554,97.17588992424933,177.98509985419128,174.51980343338107,0,Downward Dog Pose
00000135.jpg,71.67770183500717,0.17879085838639167,172.051082376331,177.638174950222,65.35726019328229,168.56274378109242,138.55984394083168,177.3225970433083,0,Downward Dog Pose
00000137.jpg,170.85810842628075,168.72130135885487,168.23825832075033,152.78148215470654,82.1826362011356,79.97774729700572,179.34686855697993,177.50406605474208,0,Downward Dog Pose
00000138.jpg,173.57863649562105,179.22534291587,168.7992756291502,164.22578100647564,84.95075624021828,86.07055684525112,169.43503364727425,166.58767345374355,0,Downward Dog Pose
00000139.jpg,157.9996258582767,148.78724244542238,167.79255020631038,174.02805110134454,69.07116622367616,69.7470052941732,170.90981248564904,173.6553701284451,0,Downward Dog Pose
00000140.jpg,177.94719945636618,179.89374330109976,162.46990866210479,167.24968768600223,77.18465026022075,77.58112314502556,172.5134615014442,172.1065287303134,0,Downward Dog Pose
00000142.jpg,160.15427191117107,162.90521884328575,119.02493254320397,132.776591703602,81.7041268565672,84.12087882269056,177.9277015543808,178.3967199353196,0,Downward Dog Pose
00000143.jpg,145.46459265199204,150.7473312355186,156.3895286469817,175.72262707336796,87.5606844868831,94.31387478411858,165.5306472854091,165.39184427520237,0,Downward Dog Pose
00000144.jpg,175.8159604888245,178.37712178473686,172.24691374426715,165.6545843675036,76.43707411593896,74.68226298360744,177.83618336364555,178.4711161941195,0,Downward Dog Pose
00000145.jpg,169.65136541371072,168.83558499492193,169.50239386241134,168.19978894696956,88.52721119789898,86.07674256333448,170.08311188045764,168.7736416937038,0,Downward Dog Pose
00000146.jpg,178.89667347904648,169.77911112795263,148.26152066645906,155.03101268089773,82.98000403492118,81.79469725488642,178.68642680487383,179.25447396883027,0,Downward Dog Pose
00000150.jpg,174.87751678292506,176.3382828330659,178.7412987587467,172.72453791195454,64.56563977415999,63.718437124629894,178.00362630212842,178.87209168320294,0,Downward Dog Pose
00000151.jpg,172.87498365109818,176.39780828819733,167.63888677643607,166.43065010491097,87.27368900609373,86.4182637601997,178.82581725152437,179.2989410968491,0,Downward Dog Pose
00000152.jpg,144.37434204508395,148.59282101338027,166.92275513130193,172.53908259442133,104.19476331817273,104.75162750941817,179.26303280006903,176.84665891177283,0,Downward Dog Pose
00000153.jpg,168.7294922259646,162.27207216040873,175.11228521617562,171.1980454318549,76.52815636238459,78.39003418491735,173.2843208572462,174.92966234707134,0,Downward Dog Pose
00000154.jpg,163.8065447851883,168.10508329787476,165.53551123752132,167.98329535092904,82.23382288776133,83.58950174255546,164.67037615118645,170.17116550247297,0,Downward Dog Pose
00000155.jpg,172.53927718109247,168.54910880643428,161.95753908193464,150.84902808341985,78.57806858452848,72.82863527114652,177.97431562653253,176.1861968732279,0,Downward Dog Pose
00000156.jpg,178.1916336734317,179.44374777291944,157.3612074932924,160.6651914621736,57.493036468289,59.78771054272329,138.82530653613523,142.8912665697327,0,Downward Dog Pose
00000158.jpg,169.65136541371072,168.83558499492193,169.50239386241134,168.19978894696956,88.52721119789898,86.07674256333448,170.08311188045764,168.7736416937038,0,Downward Dog Pose
00000159.jpg,144.37434204508395,148.59282101338027,166.92275513130193,172.53908259442133,104.19476331817273,104.75162750941817,179.26303280006903,176.84665891177283,0,Downward Dog Pose
00000160.jpg,163.8065447851883,168.10508329787476,165.53551123752132,167.98329535092904,82.23382288776133,83.58950174255546,164.67037615118645,170.17116550247297,0,Downward Dog Pose
00000161.jpg,178.89667347904648,169.77911112795263,148.26152066645906,155.03101268089773,82.98000403492118,81.79469725488642,178.68642680487383,179.25447396883027,0,Downward Dog Pose
00000162.jpg,172.87498365109818,176.39780828819733,167.63888677643607,166.43065010491097,87.27368900609373,86.4182637601997,178.82581725152437,179.2989410968491,0,Downward Dog Pose
00000163.jpg,168.7294922259646,162.27207216040873,175.11228521617562,171.1980454318549,76.52815636238459,78.39003418491735,173.2843208572462,174.92966234707134,0,Downward Dog Pose
00000164.jpg,172.53927718109247,168.54910880643428,161.95753908193464,150.84902808341985,78.57806858452848,72.82863527114652,177.97431562653253,176.1861968732279,0,Downward Dog Pose
00000165.jpg,178.1916336734317,179.44374777291944,157.3612074932924,160.6651914621736,57.493036468289,59.78771054272329,138.82530653613523,142.8912665697327,0,Downward Dog Pose
00000166.jpg,174.87751678292506,176.3382828330659,178.7412987587467,172.72453791195454,64.56563977415999,63.718437124629894,178.00362630212842,178.87209168320294,0,Downward Dog Pose
00000170.jpg,175.2579122552195,179.4382529479553,155.6954507340633,162.73746724581505,72.77484433796754,73.27215627776306,175.58012886114534,173.9393684855081,0,Downward Dog Pose
00000172.jpg,163.07896951121188,167.4469545668532,162.63051508901592,158.67416515092947,75.07053871927846,72.67648626118104,179.65717490100428,179.72713780595348,0,Downward Dog Pose
00000173.jpg,84.70305014778727,42.14933987773557,160.95646942695694,158.27056598822338,156.29758014637528,160.13640994534305,152.58790187950845,160.10774294664455,0,Downward Dog Pose
00000174.jpg,163.2497354949743,163.72667812627782,158.9326163080915,157.15826803001514,57.26183531437588,63.112127757552905,85.76716257910107,98.03296743714232,0,Downward Dog Pose
00000175.jpg,170.21158125892475,174.54203331052003,163.69913795334966,163.20272285193383,69.32053138601913,70.96308845011079,168.1222820870255,168.52033214138063,0,Downward Dog Pose
00000176.jpg,172.40691325200245,177.409145827517,149.22178614678043,148.679986411338,78.69774406648159,80.3399499526557,174.98876152763998,176.39982175401246,0,Downward Dog Pose
00000177.jpg,140.25738435928412,122.40162535333045,146.79050090203143,137.3978729529139,54.902161822717794,65.56657550398447,149.44093668702482,164.821162392781,0,Downward Dog Pose
